"","title","authors","abstract","categories","submitted","id","doi"
"1","Coherent states, displaced number states and Laguerre polynomial states
  for su(1,1) Lie algebra","Xiao-Guang Wang","  The ladder operator formalism of a general quantum state for su(1,1) Lie
algebra is obtained. The state bears the generally deformed oscillator
algebraic structure. It is found that the Perelomov's coherent state is a
su(1,1) nonlinear coherent state. The expansion and the exponential form of the
nonlinear coherent state are given. We obtain the matrix elements of the
su(1,1) displacement operator in terms of the hypergeometric functions and the
expansions of the displaced number states and Laguerre polynomial states are
followed. Finally some interesting su(1,1) optical systems are discussed.
","quant-ph","2000-01-02 00:53:31","quant-ph/0001002v2","10.1142/S0217979200001084"
"2","Photon-added one-photon and two-photon nonlinear coherent states","Xiao-Guang Wang","  From the photon-added one-photon nonlinear coherent states $a^{\dagger
m}|\alpha,f>$, we introduce a new type of nonlinear coherent states with
negative values of $m.$ The nonlinear coherent states corresponding to the
positive and negative values of $m$ are shown to be the result of nonunitarily
deforming the number states $|m>$ and $|0>$, respectively. As an example, we
study the sub-Poissonian statistics and squeezing effects of the photon-added
geometric states with negative values of $m$ in detail. Finally we investigate
the photon-added two-photon nonlinear coherent states and find that they are
still the two-photon nonlinear coherent states with certain nonlinear
functions.
","quant-ph","2000-01-02 01:00:16","quant-ph/0001003v2","10.1139/cjp-79-5-833"
"3","Normal Ordering for Deformed Boson Operators and Operator-valued
  Deformed Stirling Numbers","Jacob Katriel|Maurice Kibler","  The normal ordering formulae for powers of the boson number operator
$\hat{n}$ are extended to deformed bosons. It is found that for the `M-type'
deformed bosons, which satisfy $a a^{\dagger} - q a^{\dagger} a = 1$, the
extension involves a set of deformed Stirling numbers which replace the
Stirling numbers occurring in the conventional case. On the other hand, the
deformed Stirling numbers which have to be introduced in the case of the
`P-type' deformed bosons, which satisfy $a a^{\dagger} - q a^{\dagger} a =
q^{-\hat{n}}$, are found to depend on the operator $\hat{n}$. This distinction
between the two types of deformed bosons is in harmony with earlier
observations made in the context of a study of the extended
Campbell-Baker-Hausdorff formula.
","math-ph|math.MP|quant-ph","2000-01-02 17:04:47","math-ph/0001001v1","10.1088/0305-4470/25/9/036"
"4","The Role of the Environment in Molecular Systems","Dmitri S. Kilin","  The work is devoted to the investigation of the influence of a heat bath on
the physical processes in a quantum system. We use the density matrix theory as
one of the most powerfool tool for investigation of quantum relaxation. In the
beginning of the work (chapter 2) we mention and recall the most important
steps of derivation of the equation of motion for the reduced density matrix
(master equation) for an arbitrary quantum system in diabatic representation
interacting with the environment modeled by a set of independent harmonic
oscillators. Chapter 3 deals with the question of the border between classical
and quantum effects and reports on a study of the environmental influence on
the time evolution of a coherent state or the superposition of two coherent
states of a harmonic oscillator as a simple system displaying the peculiarities
of the transition from quantum to classical regime. Chapters 4 and 5 concern
the electron transfer (ET) problem, namely the mathematical description of the
ET in molecular zinc-porphyrin-quinone complexes modeling artificial
photosynthesis (chapter 4) and photoinduced processes in the porphyrin triad
(chapter 5). Each chapter starts with an introduction and ends with a brief
summary. The main achievements of the present work are summarized in the
Conclusions.
","quant-ph","2000-01-03 09:16:27","quant-ph/0001004v1",""
"5","Von Neumann Quantum Logic vs. Classical von Neumann Architecture?","Alexander Yu. Vlasov","  The name of John von Neumann is common both in quantum mechanics and computer
science. Are they really two absolutely unconnected areas? Many works devoted
to quantum computations and communications are serious argument to suggest
about existence of such a relation, but it is impossible to touch the new and
active theme in a short review. In the paper are described the structures and
models of linear algebra and just due to their generality it is possible to use
universal description of very different areas as quantum mechanics and theory
of Bayesian image analysis, associative memory, neural networks, fuzzy logic.
","cs.OH|quant-ph|J.2; I.5.1; F.4","2000-01-03 14:25:11","cs/0001001v1",""
"6","A four-party unlockable bound-entangled state","John A. Smolin","  I present a four-party unlockable bound-entangled state, that is, a
four-party quantum state which cannot be written in a separable form and from
which no pure entanglement can be distilled by local quantum operations and
classical communication among the parties, and yet when any two of the parties
come together in the same laboratory they can perform a measurement which
enables the other two parties to create a pure maximally entangled state
between them without coming together. This unlocking ability can be viewed in
two ways, as either a determination of which Bell state is shared in the
mixture, or as a kind of quantum teleportation with cancellation of Pauli
operators.
","quant-ph","2000-01-03 17:53:19","quant-ph/0001001v6","10.1103/PhysRevA.63.032306"
"7","The class of languages recognizable by 1-way quantum finite automata is
  not closed under union","Maris Valdats","  In this paper we develop little further the theory of quantum finite automata
(QFA). There are already few properties of QFA known, that deterministic and
probabilistic finite automata do not have e.g. they cannot recognize all
regular languages. In this paper we show, that class of languages recognizable
by QFA is not closed under union, even not under any Boolean operation, where
both arguments are significant.
","quant-ph","2000-01-04 16:29:27","quant-ph/0001005v1",""
"8","Comment on ""Quantum Phase Shift Caused by Spatial Confinement"", by B.E.
  Allman et al","Murray Peshkin","  The analysis of phase shifts in executed and proposed interferometry
experiments on photons and neutrons neglected forces exerted at the boundaries
of spatial constrictions. When those forces are included it is seen that the
observed phenomena are not in fact geometric in nature. A new proposal to be
published by Allman et al. avoids that pitfall.
","quant-ph","2000-01-05 02:51:12","quant-ph/0001006v1",""
"9","Casimir energy of a dilute dielectric ball with uniform velocity of
  light at finite temperature","I. Klich|J. Feinberg|A. Mann|M. Revzen","  The Casimir energy, free energy and Casimir force are evaluated, at arbitrary
finite temperature, for a dilute dielectric ball with uniform velocity of light
inside the ball and in the surrounding medium. In particular, we investigate
the classical limit at high temperature. The Casimir force found is repulsive,
as in previous calculations.
","hep-th|cond-mat.stat-mech|quant-ph","2000-01-05 17:24:23","hep-th/0001019v2","10.1103/PhysRevD.62.045017"
"10","Universal quantum limits on single channel information, entropy and heat
  flow","Miles P. Blencowe|Vincenzo Vitelli","  We show that the recently discovered universal upper bound on the thermal
conductance of a single channel comprising particles obeying arbitrary
fractional statistics is in fact a consequence of a more general universal
upper bound, involving the averaged entropy and energy currents of a single
channel connecting heat reservoirs with arbitrary temperatures and chemical
potentials. The latter upper bound in turn leads, via Holevo's theorem, to a
universal (i.e., statistics independent) upper bound on the optimum capacity
for classical information transmission down a single, wideband quantum channel.
","quant-ph|cond-mat.mes-hall","2000-01-05 18:58:19","quant-ph/0001007v2","10.1103/PhysRevA.62.052104"
"11","Optical Realization of Quantum Gambling Machine","Yong-Sheng Zhang|Chuan-Feng Li|Wan-Li Li|Yun-Feng Huang|Guang-Can Guo","  Quantum gambling --- a secure remote two-party protocol which has no
classical counterpart --- is demonstrated through optical approach. A photon is
prepared by Alice in a superposition state of two potential paths. Then one
path leads to Bob and is split into two parts. The security is confirmed by
quantum interference between Alice's path and one part of Bob's path. It is
shown that a practical quantum gambling machine can be feasible by this way.
","quant-ph","2000-01-06 08:50:02","quant-ph/0001008v1",""
"12","New strategy for suppressing decoherence in quantum computation","Miroljub Dugić","  Controlable strong interaction of the qubit's bath with an external system
(i.e. with the bath's environment) allows for choosing the conditions under
which the decoherence of the qubit's states can be substantially decreased (in
a certain limit: completely avoided). By ""substantially decreased"" we mean that
the correlations which involve the bath's states prove negligible, while the
correlations between the qubit's and the environment's states can be made
ineffective during a comparatively long time interval. So, effectively, one may
choose the conditions under which, for sufficiently long time interval, the
initial state of ""qubit + bath"" remains unchanged, thus removing any kind of
the errors. The method has been successfully employed in the (simplified) model
of the solid-state-nuclear quantum computer (proposed by Kane).
","quant-ph","2000-01-06 10:49:50","quant-ph/0001009v1",""
"13","Do the precise measurements of the Casimir force agree with the
  expectations?","V. B. Svetovoy|M. V. Lokhanin","  An upper limit on the Casimir force is found using the dielectric functions
of perfect crystalline materials which depend only on well defined material
constants. The force measured with the atomic force microscope is larger than
this limit at small separations between bodies and the discrepancy is
significant. The simplest modification of the experiment is proposed allowing
to make its results more reliable and answer the question if the discrepancy
has any relation with the existence of a new force.
","quant-ph|hep-ph","2000-01-06 11:24:30","quant-ph/0001010v1","10.1142/S021773230000102X"
"14","Bohmian mechanics contradicts quantum mechanics","Arnold Neumaier","  It is shown that, for a harmonic oscillator in the ground state, Bohmian
mechanics and quantum mechanics predict values of opposite sign for certain
time correlations.
  The discrepancy can be explained by the fact that Bohmian mechanics has no
natural way to accomodate the Heisenberg picture, since the local expectation
values that define the beables of the theory depend on the Heisenberg time
being used to define the operators.
  Relations to measurement are discussed, too, and shown to leave no loophole
for claiming that Bohmian mechanics reproduces all predictions of quantum
mechanics exactly.
","quant-ph","2000-01-06 14:20:52","quant-ph/0001011v2",""
"15","Evidence for a dynamic origin of charge","W. A. Hofer","  The fundamental equations of particle motion lead to a modified Poisson
equation including dynamic charge. This charge derives from density
oscillations of a particle; it is not discrete, but continuous. Within the
dynamic model of hydrogen it accounts for all features of electron proton
interactions, its origin are density oscillations of the proton. We propose a
new system of electromagnetic units, based on meter, kilogram, and second,
bearing on these findings. The system has none of the disadvantages of
traditional three-unit systems. On the basis of our theoretical model we can
genuinely derive the scaling factor between electromagnetic and mechanic
variables, which is equal, within a few percent, to Planck's constant h. The
implications of the results in view of unifying gravity and quantum theory are
discussed. It seems that the hypothetical solar gravity waves, in the low
frequency range of the electromagnetic spectrum, are open to experimental
detection.
","quant-ph|astro-ph|gr-qc|hep-ex|hep-th","2000-01-06 15:58:43","quant-ph/0001012v2",""
"16","Effects of Dicke superradiance in context of the one-atom maser","N. Nayak|A. S. Majumdar|V. Bartzis","  We consider a micromaser model to study the influence of Dicke superradiance
in the context of the one-atom maser. The model involves a microwave cavity
into which two-level Rydberg atoms are pumped in pairs. We consider a random
pump mechanism which allows the presence of at most one pair of atoms in the
cavity at any time. We analyze the differences between the present system,
called the Dicke micromaser, and an equivalently pumped conventional one-atom
micromaser. These differences are attributed to the Dicke cooperativity in the
two-atom system. We also show that the two-atom Dicke micromaser is equivalent
to a one-atom cascade two-photon micromaser. With the introduction of a
one-photon detuning, the present theory further describes a true two-photon
micromaser. We discuss in detail the role of one-photon detuning in the
mechanism of a one-atom two-photon micromaser. This leads us to point out that
the two-atom cavity dynamics can be verified by a proper scaling of the results
from an equivalent one-atom two-photon micromaser.
","quant-ph","2000-01-07 06:00:01","quant-ph/0001013v1",""
"17","Structure behind Mechanics II: Deduction","Toshihiko Ono","  This paper proves that protomechanics, previously introduced in
quant-ph/9909025, deduces both quantum mechanics and classical mechanics. It
does not only solve the problem of the arbitrariness on the operator ordering
for the quantization procedure, but also that of the analyticity at the exact
classical-limit of $\hbar =0 $. In addition, proto-mechanics proves valid also
for the description of a half-spin.
","quant-ph","2000-01-07 16:45:03","quant-ph/0001015v1",""
"18","Separability and Fourier representations of density matrices","Arthur O. Pittenger|Morton H. Rubin","  Using the finite Fourier transform, we introduce a generalization of
Pauli-spin matrices for $d$-dimensional spaces, and the resulting set of
unitary matrices $S(d) $ is a basis for $d\times d$ matrices. If $N=d_{1}\times
d_{2}\times...\times d_{b}$ and $H^{[ N]}=\bigotimes H^{% [ d_{k}]}$, we give a
sufficient condition for separability of a density matrix $\rho $ relative to
the $H^{[ d_{k}]}$ in terms of the $L_{1}$ norm of the spin coefficients of
$\rho >.$ Since the spin representation depends on the form of the tensor
product, the theory applies to both full and partial separability on a given
space $H^{[ N]}$% . It follows from this result that for a prescribed form of
separability, there is always a neighborhood of the normalized identity in
which every density matrix is separable. We also show that for every prime $p$
and $n>1$ the generalized Werner density matrix $W^{[ p^{n}]}(s) $ is fully
separable if and only if $s\leq (1+p^{n-1}) ^{-1}$.
","quant-ph","2000-01-07 18:32:20","quant-ph/0001014v1","10.1103/PhysRevA.62.032313"
"19","Antiparticle in Light of Einstein-Podolsky-Rosen Paradox and Klein
  Paradox","Guang-jiong Ni|Hong Guan|Weimin Zhou|Jun Yan","  The original version of Einstein-Podolsky-Rosen (EPR) paradox and the Klein
paradox of Klein-Gordon (KG) equation are discussed to show the necessity of
existence of antiparticle with its wavefunction being fixed unambiguously. No
concept of ""hole"" is needed.
","quant-ph","2000-01-07 19:00:48","quant-ph/0001016v2","10.1088/0256-307X/17/6/002"
"20","Some conceptual issues involving probability in quantum mechanics","J. Acacio de Barros|Patrick Suppes","  We discuss some issues about probability in quantum mechanics, with
particular emphasis on the GHZ theorem. We propose the usage of nonmonotonic
upper probabilities as a tool to derive consistent joint upper probabilities
for systems where only contextual hidden variables are possible.
","quant-ph","2000-01-08 01:38:11","quant-ph/0001017v1",""
"21","Quantum computation with mesoscopic superposition states","M. C. de Oliveira|W. J. Munro","  We present a strategy to engineer a simple cavity-QED two-bit universal
quantum gate using mesoscopic distinct quantum superposition states. The
dissipative effect on decoherence and amplitude damping of the quantum bits are
analyzed and the critical parameters are presented.
","quant-ph","2000-01-08 01:40:45","quant-ph/0001018v1","10.1103/PhysRevA.61.042309"
"22","Influence of measurement on the life-time and the line-width of unstable
  systems","Brahim Elattari|S. A. Gurvitz","  We investigate the quantum Zeno effect in the case of electron tunneling out
of a quantum dot in the presence of continuous monitoring by a detector. It is
shown that the Schr\""odinger equation for the whole system can be reduced to
Bloch-type rate equations describing the combined time-development of the
detector and the measured system. Using these equations we find that continuous
measurement of the unstable system does not affect its exponential decay to a
reservoir with a constant density of states. The width of the energy
distribution of the tunneling electron, however, is not equal to the inverse
life-time -- it increases due to the decoherence generated by the detector. We
extend the analysis to the case of a reservoir described by an energy dependent
density of states, and we show that continuous measurement of such quantum
systems affects both the exponential decay rate and the energy distribution.
The decay does not always slow down, but might be accelerated. The energy
distribution of the tunneling electron may reveal the lines invisible before
the measurement.
","quant-ph|cond-mat|nucl-th","2000-01-09 08:31:24","quant-ph/0001020v2","10.1103/PhysRevA.62.032102"
"23","Hidden assumptions in decoherence theory","Italo Vecchi","  The role of implicit assumptions in current decoherence theory is pointed out
and clarified.
","quant-ph","2000-01-09 15:16:10","quant-ph/0001021v1",""
"24","What does Psi tell us in hell?","Ping Zhu|Gao Shan","  This paper was removed by arXiv admin due to metadata abuse.
","quant-ph","2000-01-10 01:21:06","quant-ph/0001019v4",""
"25","Modification of relative entropy of Entanglement","An Min Wang","  We present the modified relative entropy of entanglement (MRE) in order to
both improve the computability for the relative entropy of entanglement and
avoid the problem that the entanglement of formation seems to be greater than
entanglement of distillation. For two qubit system we derive out an explicit
and ""weak"" closed expression of MRE that depends on the pure state
decompositions in the case of mixed states. For more qubit system, we obtain an
algorithm to calculate MRE in principle. MRE significantly improves the
computability of relative entropy of entanglement and decreases the dependence
and sensitivity on the pure state decompositions. Moreover it is able to
inherit most of the important physical features of the relative entropy of
entanglement. In addition, a kind of states, as an extension of Werner's
states, is discussed constructively.
","quant-ph","2000-01-10 03:01:47","quant-ph/0001023v6",""
"26","Incompatibility of the de Broglie-Bohm Theory with Quantum Mechanics","Partha Ghose","  t is shown that although the de Broglie-Bohm quantum theory of motion is
equivalent to standard quantum mechanics when averages of dynamical variables
are taken over a Gibbs ensemble of Bohmian trajectories, the equivalence breaks
down for ensembles built over clearly separated short intervals of time in
special multi-particle systems. This feature is exploited to propose a
realistic experiment to distinguish between the two theories.
","quant-ph","2000-01-10 05:47:55","quant-ph/0001024v3",""
"27","Quantum Mechanics As A Limiting Case of Classical Mechanics","Partha Ghose","  In spite of its popularity, it has not been possible to vindicate the
conventional wisdom that classical mechanics is a limiting case of quantum
mechanics. The purpose of the present paper is to offer an alternative point of
view in which quantum mechanics emerges as a limiting case of classical
mechanics in which the classical system is decoupled from its environment.
","quant-ph","2000-01-10 05:50:36","quant-ph/0001025v1",""
